tmlprm,tmlversi,tmldata,tmlnobuk,tmlkode1,tmlkode2,tmlkode3,tmlkode4,tmlket1,tmlket2,tmlket3,tmlket4,tmlkode5,tmlkode6,tmlyt,tmlcrtusr,tmlscr,tmltotal1,tmltotal2,tmltotal3,tmltotal4,tmltotal5
1612,1,DTTMPLAP,RUGILABA,BLN,411.04.1001,,A2001,AHASS,TDK KONTRIBUS,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1614,1,DTTMPLAP,RUGILABA,BLN,411.04.1002,,A2001,AHASS,TDK KONTRIBUS,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1616,7,DTTMPLAP,RUGILABA,BLN,411.04.1101,,A2001,AHASS,,GAB_SISPOK,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1618,3,DTTMPLAP,RUGILABA,BLN,411.04.1201,TDK,C0002,,,,NPL,,,,,,0.0,0.0,0.0,0.0,0.0
1620,1,DTTMPLAP,RUGILABA,BLN,411.05.1001,,A1001,KREDIT,TDK KONTRIBUS,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1622,2,DTTMPLAP,RUGILABA,BLN,411.05.1002,,D0001,,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1624,3,DTTMPLAP,RUGILABA,BLN,411.05.1003,,D0002,AHASS,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1626,5,DTTMPLAP,RUGILABA,BLN,411.06.1001,,A1002,,,GAB_SISPOK,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1628,3,DTTMPLAP,RUGILABA,BLN,411.07.0001,TDK,A4001,,,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1630,3,DTTMPLAP,RUGILABA,BLN,411.07.1001,TDK,A4001,,,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1632,3,DTTMPLAP,RUGILABA,BLN,411.08.1001,TDK,A4001,,,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1634,1,DTTMPLAP,RUGILABA,BLN,412.00.1001,,C0001,,TDK KONTRIBUS,,NPL,,,Y,,,0.0,0.0,0.0,0.0,0.0
1636,1,DTTMPLAP,RUGILABA,BLN,412.00.1002,,C0001,,TDK KONTRIBUS,,NPL,,,Y,,,0.0,0.0,0.0,0.0,0.0
